timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
6.800;f_0.0;79.61;-0.04;9.48
6.800;f_1.82;10.92;0.00;12.97
6.800;f_1.83;106.40;0.00;12.97
6.800;f_1.84;179.55;0.00;12.97
6.900;f_0.0;79.76;-0.04;9.48
6.900;f_1.82;9.63;0.00;12.97
6.900;f_1.83;105.16;0.00;12.97
6.900;f_1.84;179.10;0.00;12.97
7.000;f_0.0;79.91;-0.04;9.48
7.000;f_1.82;8.33;0.00;12.97
7.000;f_1.83;103.93;0.00;12.97
7.000;f_1.84;178.64;0.00;12.97
7.100;f_0.0;80.06;-0.04;9.48
7.100;f_1.82;7.04;0.00;12.97
7.100;f_1.83;102.70;0.00;12.97
7.100;f_1.84;178.15;0.00;12.97
7.200;f_0.0;80.21;-0.04;9.48
7.200;f_1.82;5.74;0.00;12.97
7.200;f_1.83;101.47;0.00;12.97
7.200;f_1.84;177.64;0.00;12.97
7.300;f_0.0;80.36;-0.04;9.47
7.300;f_1.82;4.55;0.00;12.97
7.300;f_1.83;100.33;0.00;12.97
7.300;f_1.84;177.16;0.00;12.97
7.400;f_0.0;80.51;-0.04;9.47
7.400;f_1.82;3.25;0.00;12.97
7.400;f_1.83;99.08;0.00;12.97
7.400;f_1.84;176.60;0.00;12.97
7.500;f_0.0;80.66;-0.04;9.47
7.500;f_1.82;1.94;0.00;12.97
7.500;f_1.83;97.84;0.00;12.97
7.500;f_1.84;176.02;0.00;12.97
7.600;f_0.0;80.81;-0.04;9.47
7.600;f_1.82;0.63;0.00;12.97
7.600;f_1.83;96.59;0.00;12.97
7.600;f_1.84;175.42;0.00;12.97
7.700;f_0.0;80.96;-0.04;9.47
7.700;f_1.82;-0.67;0.00;12.97
7.700;f_1.83;95.35;0.00;12.97
7.700;f_1.84;174.79;0.00;12.97
7.800;f_0.0;81.11;-0.04;9.47
7.800;f_1.82;-1.95;0.00;12.97
7.800;f_1.83;94.14;0.00;12.97
7.800;f_1.84;174.16;0.00;12.97
7.900;f_0.0;81.26;-0.04;9.47
7.900;f_1.82;-3.25;0.00;12.97
7.900;f_1.83;92.90;0.00;12.97
7.900;f_1.84;173.49;0.00;12.97
8.000;f_0.0;81.41;-0.04;9.47
8.000;f_1.82;-4.55;0.00;12.97
8.000;f_1.83;91.66;0.00;12.97
8.000;f_1.84;172.80;0.00;12.97
8.100;f_0.0;81.56;-0.04;9.47
8.100;f_1.82;-5.85;0.00;12.97
8.100;f_1.83;90.42;0.00;12.97
8.100;f_1.84;172.10;0.00;12.97
8.200;f_0.0;81.70;-0.04;9.47
8.200;f_1.82;-7.15;0.00;12.97
8.200;f_1.83;89.18;0.00;12.97
8.200;f_1.84;171.37;0.00;12.97
8.300;f_0.0;81.85;-0.04;9.47
8.300;f_1.82;-8.44;0.00;12.97
8.300;f_1.83;87.94;0.00;12.97
8.300;f_1.84;170.63;0.00;12.97
8.400;f_0.0;82.00;-0.04;9.47
8.400;f_1.82;-9.74;0.00;12.97
8.400;f_1.83;86.70;0.00;12.97
8.400;f_1.84;169.86;0.00;12.97
8.500;f_0.0;82.15;-0.04;9.47
8.500;f_1.82;-11.05;0.00;12.97
8.500;f_1.83;85.46;0.00;12.97
8.500;f_1.84;169.08;0.00;12.97
8.600;f_0.0;82.30;-0.04;9.47
8.600;f_1.82;-12.35;0.00;12.97
8.600;f_1.83;84.22;0.00;12.97
8.600;f_1.84;168.28;0.00;12.97
8.700;f_0.0;82.45;-0.04;9.47
8.700;f_1.82;-13.64;0.00;12.97
8.700;f_1.83;82.99;0.00;12.97
8.700;f_1.84;167.46;0.00;12.97
8.800;f_0.0;82.60;-0.04;9.47
8.800;f_1.82;-14.94;0.00;12.97
8.800;f_1.83;81.75;0.00;12.97
8.800;f_1.84;166.61;0.00;12.97
8.900;f_0.0;82.74;-0.04;9.47
8.900;f_1.82;-16.24;0.00;12.97
8.900;f_1.83;80.51;0.00;12.97
8.900;f_1.84;165.75;0.00;12.97
9.000;f_0.0;82.89;-0.04;9.47
9.000;f_1.82;-17.53;0.00;12.97
9.000;f_1.83;79.27;0.00;12.97
9.000;f_1.84;164.86;0.00;12.97
9.100;f_0.0;83.04;-0.04;9.47
9.100;f_1.82;-18.82;0.00;12.97
9.100;f_1.83;78.04;0.00;12.97
9.100;f_1.84;163.95;0.00;12.97
9.200;f_0.0;83.19;-0.04;9.47
9.200;f_1.82;-20.12;0.00;12.97
9.200;f_1.83;76.80;0.00;12.97
9.200;f_1.84;163.02;0.00;12.97
9.300;f_0.0;83.34;-0.04;9.47
9.300;f_1.82;-21.41;0.00;12.97
