Time(s);RTF
114.10;0.98
114.20;1.00
114.30;1.02
114.40;0.99
114.50;1.03
114.60;1.00
114.70;1.00
114.80;0.94
114.90;1.07
115.00;0.98
115.10;1.01
115.20;0.99
115.30;1.06
115.40;0.95
115.50;1.00
115.60;0.98
115.70;1.02
115.80;0.97
115.90;1.03
116.00;0.96
116.10;1.05
116.20;1.00
116.30;1.01
116.40;1.00
116.50;0.96
116.60;1.02
116.70;1.00
116.80;1.02
116.90;1.00
117.00;1.01
117.10;0.98
117.20;0.97
117.30;1.01
117.40;1.04
117.50;0.95
117.60;1.02
117.70;0.99
117.80;1.00
117.90;0.97
118.00;1.05
118.10;0.99
118.20;0.93
118.30;1.15
118.40;0.94
118.50;1.05
118.60;1.01
118.70;1.00
118.80;1.00
118.90;1.02
119.00;0.98
119.10;0.97
119.20;1.04
119.30;0.97
119.40;1.02
119.50;1.01
119.60;0.99
119.70;1.03
119.80;0.96
119.90;1.03
